list1 ;list2 ;list3 ;list4 ;list5;list6;list7;list8;list9;list10 ;list11;list12;list13 ;list14 ;list15;list16 ;list17;list18 ;list19;list20 
68;4;58;57;22;11;21;9;1;71;64;52;17;77;63;19;28;51;35;75
11;12;41;25;77;48;64;7;70;53;31;57;55;59;24;20;17;6;58;37
77;67;47;45;22;71;25;72;73;19;79;1;52;26;13;28;6;68;56;66
1;41;40;20;9;42;50;63;55;43;47;46;76;7;35;51;66;56;44;3
60;53;68;6;30;5;78;4;59;46;36;25;21;65;9;35;15;63;33;17
21;52;61;46;73;4;7;12;24;49;72;42;10;43;13;36;69;33;40;2
32;16;10;36;7;50;22;30;78;67;12;4;9;68;21;48;70;73;40;13
42;6;80;63;27;48;62;56;11;68;38;7;12;75;52;29;20;58;70;22
16;76;50;10;75;3;1;9;20;30;44;53;13;14;29;32;49;23;74;71
50;29;61;73;30;63;24;37;65;43;16;47;2;28;60;42;17;11;13;71
57;72;70;39;7;43;15;34;47;75;32;49;23;2;68;46;6;52;64;17
28;35;48;33;77;19;39;30;5;9;23;70;34;31;55;32;67;56;80;3
37;77;69;21;30;15;27;8;9;53;80;67;74;2;19;65;51;72;5;42
76;56;17;36;39;10;50;43;20;13;41;78;42;27;47;49;54;29;46;69
21;78;51;39;66;74;50;5;62;71;35;31;76;42;77;7;2;1;54;34
37;56;6;58;30;80;28;35;70;25;21;64;34;48;63;22;44;49;42;39
46;2;29;78;47;22;23;33;49;34;28;12;30;11;21;39;56;40;55;79
77;19;33;14;23;41;46;70;26;51;17;44;64;49;68;10;80;3;13;1
69;42;58;21;18;52;8;66;25;74;72;16;68;7;49;10;33;34;39;15
18;66;52;64;10;8;39;78;2;4;21;61;11;7;71;40;80;38;43;19
25;53;21;15;57;26;61;47;32;33;29;58;36;48;76;24;39;14;78;64
36;61;71;60;54;78;17;74;12;51;75;20;31;41;80;26;55;3;8;7
60;10;40;13;14;25;7;26;78;36;12;43;28;31;8;77;73;67;2;9
38;54;74;29;47;6;45;56;65;53;16;21;17;5;64;4;20;59;22;57
28;38;21;54;62;76;64;25;17;40;16;33;43;27;67;30;55;56;68;1
7;23;70;67;75;13;47;36;54;56;37;31;18;52;69;16;10;80;43;38
14;27;72;70;28;79;66;44;18;62;16;24;47;77;68;58;51;60;11;9
44;23;63;20;68;30;46;80;10;71;47;60;12;42;39;56;24;61;79;37
30;41;38;35;20;18;25;37;75;1;80;73;19;50;39;29;36;26;71;23
37;49;80;29;2;75;43;11;17;58;54;68;26;63;79;55;71;47;51;42
20;12;18;66;80;27;73;29;1;32;37;44;76;19;36;61;79;65;46;51
6;52;13;57;17;71;24;7;72;25;70;58;78;37;36;20;65;63;30;45
6;25;16;72;68;19;46;37;7;64;15;31;41;12;30;26;36;22;42;51
78;22;21;38;66;59;7;55;75;42;53;44;18;45;79;2;76;25;74;17
18;35;50;53;43;58;70;1;40;16;8;10;2;15;34;5;22;80;73;4
2;5;56;42;37;54;61;55;15;17;29;35;64;69;53;47;36;3;59;78
24;73;40;80;11;44;69;32;34;12;25;1;29;78;70;62;21;61;72;36
3;14;13;63;38;12;8;11;51;1;28;44;36;37;50;9;67;32;4;15
61;79;1;41;51;14;3;10;47;15;6;74;64;5;36;65;80;68;13;28
32;58;53;72;37;61;15;19;35;41;44;23;39;60;47;46;2;29;9;27
46;73;76;66;56;65;49;69;63;29;11;60;61;74;9;43;75;80;54;55
69;7;59;11;29;39;47;66;53;45;43;20;6;51;64;63;27;48;4;77
67;12;78;59;58;28;32;70;6;22;41;76;7;63;54;24;57;17;25;47
1;68;71;62;6;23;48;17;50;43;8;5;69;52;32;55;49;38;15;9
12;44;40;39;3;20;57;30;65;48;10;19;31;29;73;41;74;77;67;43
9;6;22;66;29;19;43;16;45;67;57;37;56;58;75;23;69;49;11;46
24;10;12;80;54;17;37;41;11;15;55;78;2;7;33;34;16;39;68;19
59;50;66;26;35;38;28;5;45;13;39;80;56;18;23;10;71;32;2;24
24;69;11;12;44;45;38;58;3;1;39;77;75;36;18;65;5;72;15;60
60;34;52;13;38;71;47;6;45;44;12;30;59;64;70;49;75;69;33;57
2;75;10;20;63;25;52;22;79;47;45;40;18;23;41;6;31;34;17;9
64;6;24;70;13;2;73;52;50;8;11;33;20;5;31;63;25;17;48;74
75;57;11;28;32;40;14;29;45;54;13;18;23;34;47;39;43;19;16;44
59;6;51;5;7;36;40;68;58;30;2;39;9;78;4;47;70;1;44;27
50;64;16;58;19;4;24;6;7;52;78;71;57;2;12;11;51;21;42;75
58;41;20;56;36;52;72;40;32;77;15;60;80;35;34;67;19;33;13;29
13;65;21;37;34;52;77;46;66;33;2;32;5;72;49;8;29;17;67;75
34;16;7;56;1;4;14;66;58;27;80;28;10;37;69;8;25;47;54;67
78;56;34;38;51;22;59;1;26;40;64;23;24;67;68;21;53;25;46;39
46;44;43;38;9;49;36;33;17;6;30;59;51;37;28;80;7;68;42;22
74;43;5;9;48;64;14;12;54;67;11;68;3;33;55;8;73;36;50;51
56;43;32;2;4;19;63;54;65;5;68;74;38;30;21;79;39;66;36;57
58;46;50;39;13;3;60;27;5;53;49;16;25;31;73;61;65;32;40;34
71;3;45;9;53;12;64;18;38;54;5;59;26;78;31;4;55;13;67;28
18;43;73;71;67;38;1;15;14;68;29;51;56;49;5;42;6;32;2;55
73;5;64;26;25;57;44;58;36;30;38;70;7;51;46;75;61;31;71;11
34;42;50;2;5;68;61;57;19;4;1;45;11;31;66;38;77;24;71;62
3;18;26;23;4;13;40;1;63;9;67;12;7;22;45;16;36;6;27;38
32;37;59;1;67;18;38;50;60;76;79;36;57;33;71;55;43;58;66;17
21;66;15;36;20;79;51;14;67;28;12;4;68;6;27;1;56;42;7;54
16;46;11;75;3;14;8;43;24;22;27;63;9;12;51;45;40;71;41;60
14;54;11;64;74;36;63;77;3;69;79;45;29;5;24;39;70;47;16;33
22;74;12;29;23;30;13;62;78;44;56;70;15;64;73;46;50;53;10;9
77;70;43;76;54;67;5;79;42;22;73;63;72;78;40;8;10;56;20;31
38;65;55;69;14;28;7;75;66;24;35;27;8;10;42;33;41;63;5;26
10;1;11;50;23;42;5;27;79;69;59;21;17;45;48;49;60;28;31;63
30;1;34;48;21;46;75;67;50;35;31;40;62;3;11;59;69;29;65;71
77;61;4;9;69;43;49;72;57;65;7;80;75;39;44;29;78;45;52;13
1;35;55;26;52;46;78;9;51;61;79;43;62;5;29;54;45;59;24;76
79;7;37;49;76;54;22;70;74;28;67;46;80;18;25;31;33;75;68;73
14;44;38;54;35;79;26;24;22;40;42;11;73;78;19;67;60;47;9;43
11;59;58;31;53;79;24;66;52;65;45;74;44;14;26;73;75;25;39;17
71;65;67;6;51;13;45;61;56;27;10;34;23;53;76;1;47;32;68;70
49;61;54;11;33;36;31;51;18;47;34;68;53;46;57;16;74;38;44;30
15;5;78;10;3;65;22;60;29;30;6;18;68;46;21;74;27;40;28;61
46;43;5;65;54;8;4;26;60;69;55;9;51;23;64;27;42;66;56;57
45;19;71;56;42;78;9;32;79;74;65;73;13;72;50;15;60;30;36;12
70;31;41;26;9;17;57;2;20;79;34;43;56;18;10;27;23;66;5;29
68;24;57;76;17;60;46;64;45;71;11;54;7;31;29;18;49;62;48;65
53;25;16;26;52;44;78;56;72;77;12;20;67;21;50;46;9;68;11;79
80;41;54;1;10;26;20;71;17;77;16;63;37;25;78;19;42;39;31;56
18;15;9;50;45;57;16;55;44;61;80;32;5;8;12;39;62;7;38;30
50;30;49;17;4;22;73;21;18;1;42;71;52;79;2;23;14;40;74;59
48;4;70;36;62;38;80;47;24;55;7;41;22;39;34;8;25;15;16;13
80;77;2;31;26;74;36;19;52;75;24;60;56;11;20;47;10;38;67;69
12;13;31;51;80;9;49;34;52;1;39;78;62;43;6;24;23;3;40;25
45;11;69;42;46;56;78;27;74;75;16;12;3;5;28;24;25;77;22;20
14;30;3;80;72;51;60;23;66;69;13;25;28;32;75;46;7;5;22;70
67;68;63;60;12;44;15;53;59;2;45;7;39;69;33;21;56;46;62;1
39;28;41;29;30;52;63;45;12;67;78;50;36;2;53;11;20;1;26;14
73;7;24;72;78;30;18;40;4;25;63;50;47;13;77;5;58;26;27;33
62;39;30;43;36;51;42;80;73;33;15;9;28;8;77;72;1;3;29;21
42;3;39;73;55;13;24;15;23;77;51;68;45;48;71;40;75;43;35;31
76;67;73;7;25;41;13;8;63;79;3;4;30;64;35;21;31;75;16;53
32;19;72;15;44;46;75;65;36;76;62;54;27;68;28;13;38;47;25;73
19;47;24;21;77;71;67;29;7;22;59;40;37;76;31;73;52;18;27;25
22;18;6;51;55;9;50;79;74;24;39;65;61;19;63;5;76;75;35;11
2;8;47;73;77;29;60;64;43;44;72;54;51;33;6;5;53;50;46;45
54;15;4;45;26;51;3;7;50;43;53;59;9;75;28;60;62;5;64;42
31;48;76;63;17;12;4;50;40;80;30;42;67;66;27;8;38;54;29;32
55;11;1;75;24;2;15;66;29;50;77;70;14;4;12;59;79;37;6;38
14;44;10;59;71;39;54;1;16;24;41;74;28;27;57;64;29;18;38;80
76;38;59;22;71;48;55;10;50;78;56;19;74;15;69;46;1;45;30;25
15;24;64;40;42;67;2;5;63;39;25;38;80;57;58;69;34;37;75;48
13;48;80;33;64;35;32;38;72;31;12;19;22;58;73;2;24;60;67;37
49;20;62;65;37;2;18;42;68;28;80;10;13;1;39;11;38;17;3;25
24;18;63;77;67;20;8;32;25;6;57;59;58;4;72;65;30;14;39;36
80;49;6;74;75;23;11;62;59;72;33;58;13;4;42;69;24;17;79;1
62;6;34;7;30;55;48;79;33;20;64;56;19;73;16;68;2;59;14;12
80;43;56;69;71;75;26;63;78;20;14;70;52;27;1;76;39;72;53;7
74;79;29;26;70;44;25;45;59;16;34;46;54;66;9;10;80;42;37;38
36;72;46;33;75;54;27;73;65;42;1;76;40;14;47;48;58;26;32;2
1;8;47;9;57;69;62;48;26;15;59;18;6;7;5;56;31;66;65;35
46;7;25;70;10;60;65;36;74;20;56;32;52;40;29;39;78;45;63;17
33;27;45;17;38;26;3;21;66;77;1;64;29;31;2;11;30;55;10;79
35;54;29;56;18;45;20;15;63;48;24;16;5;31;46;36;33;67;62;27
35;25;43;74;10;62;41;67;37;75;47;48;80;20;2;21;14;61;4;53
26;61;77;9;32;56;44;63;76;45;34;68;54;50;36;38;73;62;2;40
21;48;40;61;14;62;38;19;11;69;23;75;71;46;35;67;25;51;54;36
64;33;2;7;26;71;68;32;29;49;74;63;3;8;44;5;12;60;22;58
47;59;28;26;52;42;77;27;61;2;66;43;64;31;79;29;71;75;74;24
8;44;28;61;15;64;65;35;38;72;74;12;70;68;5;47;77;49;18;22
10;35;52;8;72;7;5;67;41;61;26;77;39;50;15;37;64;60;71;74
57;18;78;9;46;16;30;44;76;24;10;12;34;75;65;49;27;39;61;8
4;16;80;38;65;56;2;12;58;31;9;25;54;30;14;49;75;21;46;32
59;20;1;32;56;71;21;14;2;72;23;3;62;15;51;67;43;37;16;80
21;74;77;13;49;51;16;8;48;63;57;26;70;47;75;29;34;73;14;52
64;79;7;43;67;42;69;48;31;72;66;22;54;73;17;68;44;25;60;32
51;36;76;48;59;66;60;72;3;47;4;31;9;30;20;43;7;21;19;14
44;40;63;47;77;38;4;17;14;9;76;68;51;75;20;54;61;8;57;16
7;59;27;72;45;9;54;78;48;66;42;49;34;3;70;19;39;47;64;68
76;6;56;58;14;31;17;74;59;77;38;73;64;55;15;35;52;53;63;79
76;55;34;61;38;59;20;10;31;21;13;54;32;51;70;1;48;33;77;60
80;29;3;52;57;6;8;78;50;17;68;60;30;9;77;28;44;12;48;42
29;18;39;46;51;5;73;12;40;41;44;36;22;4;52;45;76;34;23;31
6;7;28;47;58;50;32;9;20;68;24;34;63;1;17;22;37;5;29;41
71;61;47;60;42;64;1;53;7;9;44;63;17;40;65;79;13;62;8;43
39;1;49;18;3;19;32;34;60;57;68;80;36;12;10;30;23;4;41;35
30;39;44;62;57;60;71;4;58;59;26;64;76;75;65;21;24;22;31;80
73;47;44;17;31;53;25;45;50;51;5;49;28;13;11;24;46;22;63;61
26;79;22;64;55;17;30;50;66;44;5;37;31;70;24;7;9;16;29;18
11;66;63;22;59;69;10;13;80;26;41;12;75;44;78;77;16;48;5;76
2;1;11;70;69;79;29;15;41;55;24;33;36;72;18;58;35;43;66;8
12;57;24;39;6;22;45;51;50;76;73;67;17;10;61;40;1;47;20;48
9;7;23;11;40;6;66;67;8;38;78;30;36;18;33;50;55;35;41;58
17;40;66;50;3;75;76;78;46;26;7;8;64;74;9;45;43;41;77;34
3;52;46;80;71;45;65;32;13;70;33;58;59;48;50;6;11;7;34;44
26;45;37;73;38;59;77;62;23;57;8;21;60;69;41;17;56;79;32;40
70;61;28;20;45;75;13;21;53;26;8;78;50;65;31;5;76;66;35;12
15;13;52;71;69;45;10;16;73;8;76;30;32;80;47;31;11;21;72;57
75;61;72;67;55;64;28;34;45;52;26;65;71;78;58;32;35;18;39;8
30;59;70;55;79;39;12;49;40;46;27;38;44;24;76;50;31;47;19;45
71;75;67;65;63;11;74;18;53;47;54;23;29;56;76;13;58;78;73;25
30;1;15;36;49;54;3;68;20;42;66;48;12;51;71;55;47;28;24;14
56;41;46;19;38;29;27;39;69;80;17;71;8;37;23;58;53;60;77;54
56;47;1;55;68;79;78;63;26;25;80;48;2;27;20;76;11;7;50;6
4;47;37;43;15;2;77;71;35;70;31;52;19;54;6;33;7;46;1;5
63;49;20;14;67;28;65;2;33;23;30;12;77;6;48;53;5;21;31;19
70;69;38;61;6;23;44;10;12;53;56;49;65;75;15;63;25;46;14;40
32;2;22;39;62;27;8;11;48;76;30;35;49;65;20;67;3;58;75;42
33;9;42;16;21;58;4;68;71;72;49;6;69;24;38;73;15;14;28;53
36;38;76;12;71;5;60;20;1;28;59;58;57;64;3;43;35;17;62;23
4;70;44;43;61;32;19;37;53;69;6;22;18;27;29;74;68;7;67;72
43;8;19;49;21;12;38;30;7;9;57;53;46;56;45;41;52;11;14;59
50;59;33;15;22;57;28;60;68;76;77;7;44;37;35;63;61;32;8;64
55;52;68;57;3;65;76;26;74;38;9;41;77;30;15;31;27;69;44;34
6;30;63;74;49;65;22;26;42;8;55;79;15;53;73;58;75;54;71;77
68;25;54;72;70;75;51;53;77;15;40;35;2;37;55;41;5;47;44;38
67;2;51;21;52;64;57;26;23;19;45;1;55;41;54;42;72;10;49;15
18;54;47;14;67;73;71;65;12;1;51;56;46;20;11;55;62;35;45;75
20;60;62;69;59;50;26;64;4;27;23;15;61;11;16;40;71;25;57;47
43;14;46;16;4;9;72;5;75;41;51;19;67;52;11;15;18;48;7;34
17;58;16;7;21;60;75;20;59;73;29;25;37;71;54;56;5;10;48;65
13;43;1;61;72;51;12;42;33;20;50;49;36;78;53;70;76;58;48;3
79;18;68;24;63;8;75;43;22;25;62;58;50;28;55;23;56;67;30;64
39;32;17;1;28;31;13;70;43;18;7;54;51;67;30;38;34;79;50;69
7;52;44;66;70;29;80;71;35;47;23;49;68;17;12;56;32;58;38;21
71;7;56;3;28;61;53;27;59;58;15;79;45;57;25;10;2;48;1;69
57;51;36;56;35;8;65;80;3;30;26;31;49;15;73;16;14;45;17;77
29;65;55;70;45;60;5;27;50;1;7;8;30;39;67;28;68;6;71;40
70;7;71;43;79;44;29;41;76;33;60;36;25;12;30;28;19;65;48;59
54;52;64;25;22;34;31;14;40;67;66;8;77;56;49;61;62;35;53;37
27;24;60;51;33;4;49;1;22;55;50;21;25;37;12;2;30;11;43;64
11;16;70;65;36;5;80;14;62;58;15;53;28;7;41;77;19;59;54;57
17;79;33;15;11;59;65;41;36;19;44;30;40;29;38;5;6;45;31;75
66;77;10;33;8;22;4;21;16;72;45;80;28;55;39;9;41;1;70;18
12;33;35;4;13;39;15;58;61;67;73;23;50;65;7;18;64;17;10;49
16;31;39;14;47;45;41;54;6;7;12;55;68;27;37;65;2;50;34;19
21;58;22;75;44;72;61;49;30;29;24;5;63;17;69;18;71;20;62;47
76;24;4;8;46;25;56;74;2;49;73;39;21;28;65;17;9;54;16;43
52;40;14;12;37;77;69;22;61;62;5;43;31;23;20;4;51;70;63;38
70;8;20;16;77;49;21;62;19;71;75;18;80;42;29;56;2;45;26;65
54;72;11;25;9;14;15;58;32;51;12;76;23;77;40;22;60;59;19;10
51;33;30;45;43;80;13;37;77;26;49;79;27;21;1;31;57;24;56;44
55;13;72;36;78;4;9;27;26;70;79;29;44;8;11;12;51;33;6;53
44;48;31;13;25;43;56;30;64;33;62;14;66;73;42;1;35;8;72;76
71;30;31;39;61;4;22;25;1;37;13;20;52;10;41;62;76;63;57;67
24;30;17;54;2;1;32;41;61;44;26;21;73;48;42;64;67;36;68;69
5;14;28;15;17;80;61;74;19;18;66;3;68;76;62;7;77;22;71;36
9;52;18;74;17;48;2;20;43;56;46;42;77;6;25;72;1;79;40;27
48;19;1;21;27;42;74;49;4;77;37;44;3;35;72;75;6;23;60;57
65;75;32;78;46;35;61;13;73;21;19;20;17;42;64;10;28;14;3;6
9;46;51;21;80;20;19;75;71;58;4;6;44;56;35;47;3;32;59;22
29;54;28;61;57;8;5;7;79;48;51;12;55;64;39;69;60;20;22;72
32;39;66;3;74;36;50;73;20;64;40;44;80;62;5;15;28;7;17;79
28;71;7;33;10;8;45;4;68;24;3;1;70;20;52;55;14;60;77;79
11;59;35;2;13;15;52;1;10;76;40;37;4;21;29;24;78;55;47;3
17;60;65;27;31;41;8;66;36;12;78;16;14;64;10;4;52;19;21;45
43;70;55;25;7;52;16;48;8;77;5;38;63;28;14;68;33;18;35;4
75;37;13;57;18;21;46;56;67;22;55;78;31;43;28;30;26;27;51;54
76;58;37;54;79;55;80;60;22;52;66;48;14;57;21;67;1;43;70;47
3;7;56;25;68;28;76;38;63;9;11;40;48;65;78;18;45;75;20;42
49;48;63;51;67;26;30;20;44;64;62;37;14;54;74;66;25;57;28;3
31;36;76;16;26;9;78;44;1;63;14;35;3;28;19;74;18;54;70;39
25;61;54;77;38;29;44;49;52;24;3;20;36;60;71;27;74;45;66;63
54;61;4;22;13;23;49;58;29;70;66;76;80;41;59;37;63;78;9;57
47;14;6;46;32;58;19;40;23;74;43;12;20;9;78;16;28;29;42;17
61;70;42;45;33;57;47;14;60;79;4;73;67;51;6;65;41;8;26;78
43;36;56;7;30;53;80;15;46;67;42;73;66;6;32;41;31;48;9;68
42;13;41;7;21;58;32;45;62;57;37;51;12;63;23;5;1;22;20;4
43;68;60;59;74;24;37;80;10;13;79;2;48;19;22;55;67;29;31;15
51;16;74;40;28;54;36;35;80;50;30;6;69;77;55;3;68;5;59;39
7;30;20;27;70;22;41;69;45;46;63;62;13;40;79;42;18;58;23;5
62;38;10;15;36;77;26;44;65;37;11;34;43;67;22;63;4;23;57;61
35;73;53;18;52;11;16;44;37;43;4;1;7;49;71;66;69;76;2;34
54;13;42;15;74;38;23;47;69;43;8;18;59;12;55;29;30;53;75;44
27;15;10;8;77;19;34;16;21;24;12;62;52;3;26;48;67;75;43;39
27;8;70;4;48;45;80;38;21;54;36;41;25;12;52;46;37;51;10;11
18;50;30;77;71;45;68;11;38;80;9;75;6;36;17;44;54;74;21;19
39;59;54;8;75;4;5;53;30;13;51;18;36;63;55;49;60;7;20;17
42;77;9;13;48;17;71;14;51;15;30;64;69;26;18;16;29;20;43;22
35;3;25;61;71;13;49;64;72;9;62;14;63;46;32;5;59;21;43;1
20;54;39;26;61;3;64;42;15;45;19;72;78;2;57;8;53;25;41;11
80;76;4;7;77;10;28;55;24;31;64;58;50;16;8;17;38;71;48;20
27;16;75;45;73;17;74;54;8;24;37;42;2;26;44;34;51;69;23;31
71;53;51;72;6;44;26;66;76;9;64;61;16;24;52;17;63;62;8;80
51;38;25;35;65;56;11;13;7;52;42;31;2;73;19;15;40;37;5;75
69;38;59;74;36;40;21;67;68;45;35;25;62;56;7;53;33;61;47;65
61;18;74;50;66;71;9;77;6;38;1;44;80;10;32;70;48;72;14;22
