EURCAD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
12/17/2023 00:00,1.45622,1.45786,1.45622,1.45786,16.4,0.11,
12/15/2023 00:00,1.47363,1.4737,1.4559,1.4571,-165.3,-1.13,
12/14/2023 00:00,1.47016,1.47644,1.4648,1.47387,37.1,0.25,
12/13/2023 00:00,1.46696,1.47147,1.4624,1.47011,31.5,0.21,
12/12/2023 00:00,1.46168,1.46926,1.4587,1.4669,52.2,0.36,
12/11/2023 00:00,1.46201,1.46532,1.4561,1.4617,-3.1,-0.02,
12/10/2023 00:00,1.46141,1.46238,1.4614,1.46196,5.5,0.04,
12/08/2023 00:00,1.46699,1.46736,1.4579,1.4616,-53.9,-0.37,
12/07/2023 00:00,1.46326,1.47011,1.4622,1.4671,38.4,0.26,
12/06/2023 00:00,1.46697,1.46707,1.4609,1.46331,-36.6,-0.25,
12/05/2023 00:00,1.46729,1.47182,1.463,1.46693,-3.6,-0.02,
12/04/2023 00:00,1.46838,1.47354,1.4621,1.46728,-11.0,-0.07,
12/03/2023 00:00,1.46852,1.46966,1.4678,1.4684,-1.2,-0.01,
12/01/2023 00:00,1.47647,1.478,1.45688,1.4684,-80.7,-0.55,
11/30/2023 00:00,1.49148,1.4924,1.47436,1.47654,-149.4,-1.01,
11/29/2023 00:00,1.49277,1.49287,1.48805,1.4909,-18.7,-0.13,
11/28/2023 00:00,1.49087,1.49459,1.4863,1.4927,18.3,0.12,
11/27/2023 00:00,1.49115,1.49562,1.4882,1.49087,-2.8,-0.02,
11/26/2023 00:00,1.49189,1.49238,1.4905,1.49114,-7.5,-0.05,
11/24/2023 00:00,1.49334,1.4955,1.4863,1.4937,3.6,0.02,
11/23/2023 00:00,1.49075,1.49503,1.489,1.49334,25.9,0.17,
11/22/2023 00:00,1.49553,1.49857,1.48885,1.49076,-47.7,-0.32,
11/21/2023 00:00,1.50279,1.50444,1.4927,1.49552,-72.7,-0.49,
11/20/2023 00:00,1.49627,1.50389,1.4947,1.50225,59.8,0.40,
11/19/2023 00:00,1.49544,1.49648,1.49544,1.49629,8.5,0.06,
11/17/2023 00:00,1.49248,1.4994,1.48714,1.4965,40.2,0.27,
11/16/2023 00:00,1.48514,1.49791,1.4833,1.49256,74.2,0.50,
11/15/2023 00:00,1.49018,1.49024,1.4805,1.48501,-51.7,-0.35,
11/14/2023 00:00,1.47683,1.49113,1.4756,1.49017,133.4,0.90,
11/13/2023 00:00,1.47493,1.47723,1.4735,1.4765,15.7,0.11,
11/12/2023 00:00,1.47312,1.47519,1.47276,1.47498,18.6,0.13,
11/10/2023 00:00,1.47298,1.47836,1.47028,1.474,10.2,0.07,
11/09/2023 00:00,1.4771,1.47742,1.4716,1.47298,-41.2,-0.28,
11/08/2023 00:00,1.47263,1.479,1.4688,1.47724,46.1,0.31,
11/07/2023 00:00,1.4681,1.4731,1.466,1.4725,44,0.30,
11/06/2023 00:00,1.46595,1.46988,1.464,1.46817,22.2,0.15,
11/05/2023 00:00,1.46464,1.46603,1.46461,1.46594,13.0,0.09,
11/03/2023 00:00,1.45929,1.46913,1.4585,1.4667,74.1,0.51,
11/02/2023 00:00,1.46451,1.4719,1.45799,1.45931,-52.0,-0.36,
11/01/2023 00:00,1.46801,1.46812,1.45881,1.46455,-34.6,-0.24,
10/31/2023 00:00,1.46786,1.4747,1.4638,1.46804,1.8,0.01,
10/30/2023 00:00,1.46421,1.47107,1.4611,1.46778,35.7,0.24,
10/29/2023 00:00,1.46431,1.46569,1.46419,1.46422,-0.9,-0.01,
10/27/2023 00:00,1.45947,1.46945,1.4552,1.4651,56.3,0.38,
10/26/2023 00:00,1.45834,1.46114,1.4534,1.45947,11.3,0.08,
10/25/2023 00:00,1.45594,1.46033,1.4534,1.45837,24.3,0.17,
10/24/2023 00:00,1.46051,1.46155,1.4526,1.45592,-45.9,-0.32,
10/23/2023 00:00,1.45124,1.46095,1.4494,1.4605,92.6,0.63,
10/20/2023 00:00,1.4519,1.45296,1.446,1.4525,6,0.04,
10/19/2023 00:00,1.44495,1.45296,1.4443,1.45195,70.0,0.48,
10/18/2023 00:00,1.44345,1.4453,1.4384,1.44497,15.2,0.11,
10/17/2023 00:00,1.43695,1.44497,1.4347,1.44346,65.1,0.45,
10/16/2023 00:00,1.4355,1.43852,1.4331,1.43694,14.4,0.10,
10/13/2023 00:00,1.44166,1.44398,1.4326,1.4346,-70.6,-0.49,
10/12/2023 00:00,1.44426,1.4448,1.4373,1.44165,-26.1,-0.18,
10/11/2023 00:00,1.44043,1.44544,1.4396,1.44431,38.8,0.27,
10/10/2023 00:00,1.43647,1.44256,1.4338,1.44039,39.2,0.27,
10/09/2023 00:00,1.44354,1.44374,1.43352,1.43646,-70.8,-0.49,
10/06/2023 00:00,1.44548,1.44973,1.4375,1.446,5.2,0.04,
10/05/2023 00:00,1.44381,1.44898,1.4423,1.44554,17.3,0.12,
10/04/2023 00:00,1.43514,1.44677,1.4332,1.44379,86.5,0.60,
10/03/2023 00:00,1.43314,1.4396,1.4317,1.43513,19.9,0.14,
10/02/2023 00:00,1.43387,1.43741,1.42965,1.43319,-6.8,-0.05,
09/29/2023 00:00,1.42488,1.43622,1.4215,1.4348,99.2,0.69,
09/28/2023 00:00,1.41812,1.42666,1.4153,1.42491,67.9,0.48,
09/27/2023 00:00,1.42869,1.42972,1.4169,1.41822,-104.7,-0.74,
09/26/2023 00:00,1.42452,1.4326,1.4234,1.42872,42.0,0.29,
09/25/2023 00:00,1.43504,1.43623,1.424,1.42456,-104.8,-0.74,
09/22/2023 00:00,1.43671,1.4373,1.4281,1.4358,-9.1,-0.06,
09/21/2023 00:00,1.43528,1.43988,1.4323,1.43663,13.5,0.09,
09/20/2023 00:00,1.43579,1.43955,1.4331,1.43524,-5.5,-0.04,
09/19/2023 00:00,1.44193,1.44206,1.4299,1.43585,-60.8,-0.42,
09/18/2023 00:00,1.44253,1.44305,1.4364,1.44196,-5.7,-0.04,
09/15/2023 00:00,1.4374,1.44592,1.43053,1.4407,33,0.23,
09/14/2023 00:00,1.45454,1.45501,1.43395,1.43738,-171.6,-1.19,
09/13/2023 00:00,1.45728,1.45932,1.4516,1.45447,-28.1,-0.19,
09/12/2023 00:00,1.45945,1.462,1.4508,1.45731,-21.4,-0.15,
09/11/2023 00:00,1.46044,1.46151,1.4552,1.45941,-10.3,-0.07,
09/08/2023 00:00,1.46369,1.46612,1.4563,1.4592,-44.9,-0.31,
09/07/2023 00:00,1.46256,1.46629,1.45764,1.46367,11.1,0.08,
09/06/2023 00:00,1.46276,1.46748,1.45925,1.46253,-2.3,-0.02,
09/05/2023 00:00,1.46746,1.47027,1.458,1.46273,-47.3,-0.32,
09/04/2023 00:00,1.46469,1.46945,1.4641,1.46749,28.0,0.19,
09/01/2023 00:00,1.46477,1.47326,1.4628,1.4642,-5.7,-0.04,
08/31/2023 00:00,1.47917,1.47987,1.463,1.4643,-148.7,-1.02,
08/30/2023 00:00,1.47368,1.48238,1.4714,1.47916,54.8,0.37,
08/29/2023 00:00,1.47232,1.47663,1.4689,1.47367,13.5,0.09,
08/28/2023 00:00,1.46781,1.47267,1.466,1.47229,44.8,0.30,
08/25/2023 00:00,1.46709,1.47186,1.4624,1.4681,10.1,0.07,
08/24/2023 00:00,1.46942,1.47205,1.4656,1.46716,-22.6,-0.15,
08/23/2023 00:00,1.46968,1.47357,1.4649,1.46939,-2.9,-0.02,
08/22/2023 00:00,1.47614,1.47844,1.46786,1.46965,-64.9,-0.44,
08/21/2023 00:00,1.47262,1.47842,1.4707,1.47614,35.2,0.24,
08/18/2023 00:00,1.47294,1.47587,1.46674,1.4723,-6.4,-0.04,
08/17/2023 00:00,1.472,1.47424,1.35552,1.47295,9.5,0.06,
08/16/2023 00:00,1.47095,1.47605,1.46355,1.47201,10.6,0.07,
08/15/2023 00:00,1.468,1.47604,1.4664,1.47092,29.2,0.20,
08/14/2023 00:00,1.47075,1.47397,1.4652,1.46803,-27.2,-0.19,
08/11/2023 00:00,1.47632,1.48014,1.4694,1.4705,-58.2,-0.40,
08/10/2023 00:00,1.47301,1.4797,1.4714,1.47635,33.4,0.23,
08/09/2023 00:00,1.47131,1.47695,1.4705,1.47296,16.5,0.11,
08/08/2023 00:00,1.47121,1.47709,1.46818,1.47132,1.1,0.01,
08/07/2023 00:00,1.47154,1.47249,1.4669,1.47121,-3.3,-0.02,
08/04/2023 00:00,1.46205,1.47454,1.4606,1.4725,104.5,0.71,
08/03/2023 00:00,1.46027,1.46311,1.4574,1.46197,17.0,0.12,
08/02/2023 00:00,1.46053,1.46295,1.4548,1.4602,-3.3,-0.02,
08/01/2023 00:00,1.45089,1.46222,1.4493,1.46061,97.2,0.67,
07/31/2023 00:00,1.4608,1.46136,1.44693,1.45076,-100.4,-0.69,
07/28/2023 00:00,1.45206,1.46184,1.4481,1.4587,66.4,0.46,
07/27/2023 00:00,1.46274,1.47018,1.4486,1.45205,-106.9,-0.74,
07/26/2023 00:00,1.45709,1.46567,1.4557,1.46277,56.8,0.39,
07/25/2023 00:00,1.45745,1.4594,1.42845,1.45717,-2.8,-0.02,
07/24/2023 00:00,1.4712,1.4718,1.4539,1.45751,-136.9,-0.94,
07/21/2023 00:00,1.46681,1.47139,1.463,1.4706,37.9,0.26,
07/20/2023 00:00,1.47488,1.47602,1.46426,1.46684,-80.4,-0.55,
07/19/2023 00:00,1.47831,1.4805,1.4722,1.47486,-34.5,-0.23,
07/18/2023 00:00,1.48344,1.48811,1.4773,1.47832,-51.2,-0.35,
07/17/2023 00:00,1.48493,1.48725,1.4771,1.48341,-15.2,-0.10,
07/14/2023 00:00,1.47163,1.48562,1.4695,1.48177,101.4,0.68,
07/13/2023 00:00,1.46859,1.47284,1.4649,1.47163,30.4,0.21,
07/12/2023 00:00,1.45683,1.46957,1.4551,1.46862,117.9,0.80,
07/11/2023 00:00,1.46071,1.46205,1.45511,1.45693,-37.8,-0.26,
07/10/2023 00:00,1.45615,1.46094,1.4535,1.4608,46.5,0.32,
07/07/2023 00:00,1.45531,1.4584,1.4507,1.4563,9.9,0.07,
07/06/2023 00:00,1.44205,1.4563,1.4403,1.45529,132.4,0.91,
07/05/2023 00:00,1.43901,1.44758,1.4379,1.44206,30.5,0.21,
07/04/2023 00:00,1.44568,1.44635,1.43682,1.43911,-65.7,-0.46,
07/03/2023 00:00,1.44518,1.447,1.4417,1.44564,4.6,0.03,
06/30/2023 00:00,1.44005,1.4471,1.42613,1.43143,-86.2,-0.60,
06/29/2023 00:00,1.44641,1.45034,1.43759,1.44004,-63.7,-0.44,
06/28/2023 00:00,1.44599,1.45175,1.4438,1.44642,4.3,0.03,
06/27/2023 00:00,1.4347,1.44628,1.4323,1.44599,112.9,0.78,
06/26/2023 00:00,1.43577,1.43797,1.432,1.43475,-10.2,-0.07,
06/23/2023 00:00,1.44025,1.44243,1.43139,1.4356,-46.5,-0.32,
06/22/2023 00:00,1.44642,1.44872,1.4394,1.44025,-61.7,-0.43,
06/21/2023 00:00,1.44405,1.44669,1.4412,1.44643,23.8,0.16,
06/20/2023 00:00,1.44298,1.44773,1.4413,1.44407,10.9,0.08,
06/19/2023 00:00,1.4433,1.44677,1.4393,1.44299,-3.1,-0.02,
06/16/2023 00:00,1.44725,1.45023,1.43812,1.4436,-36.5,-0.25,
06/15/2023 00:00,1.445,1.45,1.4405,1.44724,22.4,0.15,
06/14/2023 00:00,1.43643,1.44501,1.4334,1.4449,84.7,0.59,
06/13/2023 00:00,1.43816,1.44379,1.4341,1.43651,-16.5,-0.11,
06/12/2023 00:00,1.43374,1.43931,1.4321,1.43823,44.9,0.31,
06/09/2023 00:00,1.44066,1.44142,1.4276,1.4334,-72.6,-0.51,
06/08/2023 00:00,1.43154,1.4429,1.4279,1.44063,90.9,0.63,
06/07/2023 00:00,1.43334,1.43822,1.42834,1.4311,-22.4,-0.16,
06/06/2023 00:00,1.44046,1.44065,1.4314,1.43335,-71.1,-0.50,
06/05/2023 00:00,1.43635,1.44251,1.4337,1.44047,41.2,0.29,
06/02/2023 00:00,1.44659,1.44756,1.43585,1.4372,-93.9,-0.65,
06/01/2023 00:00,1.4505,1.454,1.444,1.4463,-42,-0.29,
05/31/2023 00:00,1.45941,1.46116,1.4459,1.45068,-87.3,-0.60,
05/30/2023 00:00,1.45642,1.4614,1.4511,1.45942,30.0,0.21,
05/29/2023 00:00,1.45901,1.46036,1.45273,1.45647,-25.4,-0.17,
05/26/2023 00:00,1.46303,1.46478,1.4586,1.4599,-31.3,-0.21,
05/25/2023 00:00,1.46149,1.46361,1.4564,1.46303,15.4,0.11,
05/24/2023 00:00,1.45376,1.46377,1.4532,1.46149,77.3,0.53,
05/23/2023 00:00,1.45969,1.46179,1.4518,1.4534,-62.9,-0.43,
05/22/2023 00:00,1.46014,1.46268,1.45707,1.4597,-4.4,-0.03,
05/19/2023 00:00,1.45439,1.46297,1.45134,1.4588,44.1,0.30,
05/18/2023 00:00,1.45946,1.46055,1.4508,1.45439,-50.7,-0.35,
05/17/2023 00:00,1.4643,1.46613,1.45519,1.45947,-48.3,-0.33,
05/16/2023 00:00,1.46417,1.46754,1.4582,1.4643,1.3,0.01,
05/15/2023 00:00,1.47115,1.47252,1.463,1.46416,-69.9,-0.48,
05/12/2023 00:00,1.47249,1.47488,1.4669,1.4704,-20.9,-0.14,
05/11/2023 00:00,1.46856,1.47384,1.4626,1.4725,39.4,0.27,
05/10/2023 00:00,1.4662,1.47056,1.46304,1.46853,23.3,0.16,
05/09/2023 00:00,1.47039,1.47173,1.46485,1.46645,-39.4,-0.27,
05/08/2023 00:00,1.47413,1.47659,1.4691,1.47042,-37.1,-0.25,
05/05/2023 00:00,1.49052,1.49234,1.4698,1.4738,-167.2,-1.13,
05/04/2023 00:00,1.50862,1.50988,1.4887,1.49052,-181.0,-1.21,
05/03/2023 00:00,1.49953,1.50947,1.4991,1.50872,91.9,0.61,
05/02/2023 00:00,1.48643,1.50024,1.4858,1.49964,132.1,0.88,
05/01/2023 00:00,1.49307,1.49642,1.48233,1.48641,-66.6,-0.45,
04/28/2023 00:00,1.50023,1.50312,1.46577,1.4928,-74.3,-0.50,
04/27/2023 00:00,1.50551,1.50735,1.49687,1.50021,-53.0,-0.35,
04/26/2023 00:00,1.49497,1.51123,1.4939,1.50539,104.2,0.69,
04/25/2023 00:00,1.49638,1.49926,1.49268,1.49501,-13.7,-0.09,
04/24/2023 00:00,1.48826,1.49678,1.486,1.496,77.4,0.52,
04/21/2023 00:00,1.47854,1.48835,1.4775,1.4872,86.6,0.58,
04/20/2023 00:00,1.47504,1.47997,1.4736,1.47853,34.9,0.24,
04/19/2023 00:00,1.46965,1.4751,1.4671,1.47494,52.9,0.36,
04/18/2023 00:00,1.4627,1.46999,1.4621,1.46958,68.8,0.47,
04/17/2023 00:00,1.46813,1.4689,1.46108,1.46323,-49.0,-0.33,
04/14/2023 00:00,1.4743,1.47544,1.46717,1.4689,-54,-0.37,
04/13/2023 00:00,1.47787,1.4805,1.4723,1.47426,-36.1,-0.24,
04/12/2023 00:00,1.46951,1.47906,1.46759,1.47793,84.2,0.57,
04/11/2023 00:00,1.46764,1.47531,1.4671,1.46967,20.3,0.14,
04/10/2023 00:00,1.47355,1.47383,1.465,1.46762,-59.3,-0.40,
04/07/2023 00:00,1.47359,1.47527,1.4709,1.4731,-4.9,-0.03,
04/06/2023 00:00,1.46684,1.47385,1.4661,1.47361,67.7,0.46,
04/05/2023 00:00,1.47235,1.47679,1.46541,1.46686,-54.9,-0.37,
04/04/2023 00:00,1.46544,1.4753,1.4618,1.47256,71.2,0.48,
04/03/2023 00:00,1.45851,1.46576,1.458,1.46547,69.6,0.47,
03/31/2023 00:00,1.47447,1.47708,1.46111,1.4651,-93.7,-0.64,
03/30/2023 00:00,1.47077,1.47867,1.4665,1.47444,36.7,0.25,
03/29/2023 00:00,1.47326,1.4763,1.4688,1.47075,-25.1,-0.17,
03/28/2023 00:00,1.47555,1.48121,1.4727,1.47336,-21.9,-0.15,
03/27/2023 00:00,1.4794,1.47943,1.473,1.4752,-42,-0.28,
03/24/2023 00:00,1.48612,1.48687,1.4762,1.4785,-76.2,-0.52,
03/23/2023 00:00,1.4907,1.49384,1.4836,1.48614,-45.6,-0.31,
03/22/2023 00:00,1.4768,1.4914,1.4734,1.49107,142.7,0.96,
03/21/2023 00:00,1.46535,1.47974,1.4633,1.47679,114.4,0.77,
03/20/2023 00:00,1.4644,1.46809,1.4597,1.46544,10.4,0.07,
03/17/2023 00:00,1.45608,1.4666,1.4552,1.4663,102.2,0.70,
03/16/2023 00:00,1.45654,1.46172,1.4514,1.45606,-4.8,-0.03,
03/15/2023 00:00,1.46836,1.47104,1.4487,1.45677,-115.9,-0.80,
03/14/2023 00:00,1.47342,1.47349,1.4611,1.46835,-50.7,-0.35,
03/13/2023 00:00,1.47043,1.47593,1.46461,1.47319,27.6,0.19,
03/10/2023 00:00,1.46407,1.47602,1.46191,1.47,59.3,0.40,
03/09/2023 00:00,1.45567,1.46421,1.4538,1.46415,84.8,0.58,
03/08/2023 00:00,1.45032,1.457,1.448,1.45563,53.1,0.36,
03/07/2023 00:00,1.45484,1.45593,1.44824,1.45031,-45.3,-0.31,
03/06/2023 00:00,1.44539,1.45545,1.4448,1.45489,95.0,0.65,
03/03/2023 00:00,1.44107,1.4492,1.4377,1.4464,53.3,0.37,
03/02/2023 00:00,1.44982,1.45095,1.43937,1.44111,-87.1,-0.60,
03/01/2023 00:00,1.44318,1.45509,1.4416,1.44983,66.5,0.46,
02/28/2023 00:00,1.44022,1.44832,1.4369,1.4429,26.8,0.19,
02/27/2023 00:00,1.43467,1.44082,1.4323,1.4402,55.3,0.38,
02/24/2023 00:00,1.43522,1.44092,1.42874,1.4345,-7.2,-0.05,
02/23/2023 00:00,1.43653,1.43737,1.4326,1.4352,-13.3,-0.09,
02/22/2023 00:00,1.44141,1.44431,1.4355,1.43651,-49.0,-0.34,
02/21/2023 00:00,1.43706,1.44343,1.4323,1.44142,43.6,0.30,
02/20/2023 00:00,1.44038,1.44125,1.43499,1.43705,-33.3,-0.23,
02/17/2023 00:00,1.43693,1.44147,1.4336,1.4405,35.7,0.25,
02/16/2023 00:00,1.43163,1.43717,1.42733,1.43694,53.1,0.37,
02/15/2023 00:00,1.43207,1.43775,1.42913,1.43172,-3.5,-0.02,
02/14/2023 00:00,1.4305,1.43653,1.42971,1.43211,16.1,0.11,
02/13/2023 00:00,1.42658,1.43129,1.4233,1.43088,43.0,0.30,
02/10/2023 00:00,1.44435,1.44478,1.4223,1.4247,-196.5,-1.38,
02/09/2023 00:00,1.44065,1.44621,1.439,1.44421,35.6,0.25,
02/08/2023 00:00,1.43683,1.44234,1.4354,1.44067,38.4,0.27,
02/07/2023 00:00,1.44222,1.44266,1.43467,1.4368,-54.2,-0.38,
02/06/2023 00:00,1.44597,1.44802,1.43819,1.44217,-38.0,-0.26,
02/03/2023 00:00,1.45215,1.46175,1.44349,1.4468,-53.5,-0.37,
02/02/2023 00:00,1.46168,1.46411,1.4512,1.45217,-95.1,-0.65,
02/01/2023 00:00,1.44516,1.4635,1.4438,1.46169,165.3,1.13,
01/31/2023 00:00,1.45217,1.4587,1.44403,1.44516,-70.1,-0.49,
01/30/2023 00:00,1.44645,1.45442,1.4451,1.45211,56.6,0.39,
01/27/2023 00:00,1.45047,1.45198,1.4436,1.4464,-40.7,-0.28,
01/26/2023 00:00,1.4612,1.46388,1.4491,1.45048,-107.2,-0.74,
01/25/2023 00:00,1.45607,1.46425,1.4513,1.46118,51.1,0.35,
01/24/2023 00:00,1.45353,1.4565,1.4497,1.45611,25.8,0.18,
01/23/2023 00:00,1.45253,1.45999,1.4513,1.45358,10.5,0.07,
01/20/2023 00:00,1.45842,1.46138,1.451,1.4524,-60.2,-0.41,
01/19/2023 00:00,1.45718,1.46404,1.4536,1.45856,13.8,0.09,
01/18/2023 00:00,1.44473,1.4572,1.4402,1.45717,124.4,0.85,
01/17/2023 00:00,1.45174,1.45592,1.4426,1.44472,-70.2,-0.49,
01/16/2023 00:00,1.45137,1.45178,1.4471,1.45096,-4.1,-0.03,
01/13/2023 00:00,1.45275,1.45359,1.445,1.4507,-20.5,-0.14,
01/12/2023 00:00,1.44572,1.4529,1.44005,1.45276,70.4,0.48,
01/11/2023 00:00,1.44252,1.44792,1.4401,1.44571,31.9,0.22,
01/10/2023 00:00,1.43745,1.44262,1.4354,1.44258,51.3,0.36,
01/09/2023 00:00,1.43259,1.43881,1.42729,1.43746,48.7,0.34,
01/06/2023 00:00,1.42687,1.43419,1.4231,1.4311,42.3,0.30,
01/05/2023 00:00,1.43019,1.4361,1.42502,1.42686,-33.3,-0.23,
01/04/2023 00:00,1.44181,1.44572,1.4278,1.43019,-116.2,-0.81,
01/03/2023 00:00,1.44798,1.45201,1.4341,1.44168,-63.0,-0.44,
01/02/2023 00:00,1.44779,1.4518,1.43953,1.448,2.1,0.01,
12/30/2022 00:00,1.44481,1.45141,1.4409,1.4494,45.9,0.32,
12/29/2022 00:00,1.4453,1.44831,1.4406,1.44483,-4.7,-0.03,
12/28/2022 00:00,1.43845,1.44565,1.4351,1.44531,68.6,0.47,
12/27/2022 00:00,1.44237,1.44446,1.43233,1.43844,-39.3,-0.27,
12/26/2022 00:00,1.44247,1.4463,1.4386,1.44244,-0.3,0.00,
12/23/2022 00:00,1.44562,1.44791,1.4404,1.4434,-22.2,-0.15,
12/22/2022 00:00,1.44432,1.44935,1.4429,1.44561,12.9,0.09,
12/21/2022 00:00,1.44496,1.44945,1.44058,1.44409,-8.7,-0.06,
12/20/2022 00:00,1.44769,1.45184,1.4422,1.44495,-27.4,-0.19,
12/19/2022 00:00,1.44883,1.45351,1.44384,1.44771,-11.2,-0.08,
12/16/2022 00:00,1.45283,1.45621,1.44723,1.4497,-31.3,-0.22,
12/15/2022 00:00,1.44658,1.45937,1.4389,1.45284,62.6,0.43,
12/14/2022 00:00,1.44015,1.44771,1.4385,1.44659,64.4,0.45,
12/13/2022 00:00,1.43691,1.44491,1.433,1.44014,32.3,0.22,
12/12/2022 00:00,1.43674,1.44614,1.43391,1.43693,1.9,0.01,
12/09/2022 00:00,1.43542,1.4416,1.4342,1.4369,14.8,0.10,
12/08/2022 00:00,1.43516,1.43995,1.4273,1.43539,2.3,0.02,
12/07/2022 00:00,1.42872,1.44034,1.4261,1.43501,62.9,0.44,
12/06/2022 00:00,1.42622,1.43506,1.4242,1.4283,20.8,0.15,
12/05/2022 00:00,1.4178,1.42736,1.4129,1.42624,84.4,0.59,
12/02/2022 00:00,1.41444,1.4223,1.4083,1.4185,40.6,0.29,
12/01/2022 00:00,1.39818,1.4149,1.3975,1.41444,162.6,1.15,
11/30/2022 00:00,1.40237,1.40561,1.3941,1.39817,-42.0,-0.30,
11/29/2022 00:00,1.39526,1.41266,1.3889,1.40238,71.2,0.51,
11/28/2022 00:00,1.39017,1.40871,1.38981,1.39516,49.9,0.36,
11/25/2022 00:00,1.3881,1.3934,1.3849,1.3907,26,0.19,
11/24/2022 00:00,1.38967,1.39304,1.3858,1.38803,-16.4,-0.12,
11/23/2022 00:00,1.37781,1.39067,1.3768,1.38961,118.0,0.85,
11/22/2022 00:00,1.37755,1.37896,1.3731,1.37773,1.8,0.01,
11/21/2022 00:00,1.38197,1.38275,1.3734,1.37759,-43.8,-0.32,
11/18/2022 00:00,1.38035,1.38758,1.379,1.3809,5.5,0.04,
11/17/2022 00:00,1.38597,1.38616,1.3778,1.38045,-55.2,-0.40,
11/16/2022 00:00,1.37474,1.38729,1.3729,1.38598,112.4,0.81,
11/15/2022 00:00,1.37493,1.38612,1.3685,1.37484,-0.9,-0.01,
11/14/2022 00:00,1.3699,1.37619,1.3655,1.37494,50.4,0.37,
11/11/2022 00:00,1.35868,1.37366,1.3569,1.3725,138.2,1.01,
11/10/2022 00:00,1.3548,1.361,1.3454,1.3587,39,0.29,
11/09/2022 00:00,1.35221,1.35535,1.347,1.35519,29.8,0.22,
11/08/2022 00:00,1.35151,1.35491,1.3474,1.35221,7.0,0.05,
11/07/2022 00:00,1.34152,1.35402,1.34152,1.35152,100.0,0.74,
11/04/2022 00:00,1.33973,1.3431,1.3273,1.3416,18.7,0.14,
11/03/2022 00:00,1.34594,1.34688,1.3378,1.33976,-61.8,-0.46,
11/02/2022 00:00,1.34511,1.35155,1.34263,1.34592,8.1,0.06,
11/01/2022 00:00,1.34554,1.35113,1.344,1.34508,-4.6,-0.03,
10/31/2022 00:00,1.3546,1.35797,1.34354,1.3452,-94,-0.70,
10/28/2022 00:00,1.35178,1.35943,1.3501,1.3548,30.2,0.22,
10/27/2022 00:00,1.36766,1.36875,1.3493,1.35183,-158.3,-1.17,
10/26/2022 00:00,1.35668,1.36904,1.353,1.36756,108.8,0.80,
10/25/2022 00:00,1.35383,1.3595,1.3507,1.35666,28.3,0.21,
10/24/2022 00:00,1.34557,1.35834,1.3437,1.35388,83.1,0.61,
10/21/2022 00:00,1.34723,1.35154,1.3347,1.345,-22.3,-0.17,
10/20/2022 00:00,1.345,1.3483,1.3424,1.34716,21.6,0.16,
10/19/2022 00:00,1.3539,1.35413,1.3438,1.34501,-88.9,-0.66,
10/18/2022 00:00,1.34997,1.35885,1.3464,1.35385,38.8,0.29,
10/17/2022 00:00,1.34938,1.35101,1.3427,1.34998,6.0,0.04,
10/14/2022 00:00,1.34436,1.35379,1.3406,1.3492,48.4,0.36,
